book,longName_in_price,underlying_in_price,instrument,expiry_num,expiry_str,sens_value,PRECIO_AC,MID_P50_ORIGINAL,Source_AVA_MPU,Source_FVA_MPU,Source_FVA_CoC,Source_AVA_CoC,SPREAD_P50,SPREAD_P90,SPREAD_P95,SPREAD_P10,UNCERT_AVA_MPU,UNCERT_AVA_UU_MPU,UNCERT_AVA_ES_MPU,UNCERT_FVA_MPU,FVA_MPU,FVA_CoC,AVA_MPU_GROSS,AVA_CoC_GROSS,AVA_MPU_UU_GROSS,AVA_MPU_ES_GROSS,AVA_CoC_UU_GROSS,AVA_CoC_ES_GROSS,FVA_MPU_exempt,FVA_CoC_exempt,AVA_MPU_GROSS_exempt,AVA_CoC_GROSS_exempt,book_type
All Desk,VOLFX-AUDUSD_1W_25RR,AUDUSD,25RR,0.019444444444444445,1W,3302.35,-0.88,-0.795,Market Data,Market Data,Market Data,Market Data,0.7,1.0494,1.093,0.46,0.0,-0.16159999999999997,0.0,-0.08499999999999996,-280.6997499999999,1155.8225,0.0,1732.7430450000002,-533.6597599999999,0.0,759.5405000000001,1804.7342749999998,-280.6997499999999,1155.8225,0.0,1732.7430450000002,GCB TRADING BOOK
All Desk,VOLFX-AUDUSD_1W_ATM,AUDUSD,ATM,0.019444444444444445,1W,-6002.96004,12.955,12.95,Market Data,Market Data,Market Data,Market Data,1.0,1.1,1.1,0.62,0.0,0.0649999999999995,0.0,0.005000000000000782,-30.014800200004693,3001.48002,576.2841638400005,3301.6280220000003,-390.192402599997,768.3788851200006,1860.9176124,3301.6280220000003,-30.014800200004693,3001.48002,576.2841638400005,3301.6280220000003,GCB TRADING BOOK
All Desk,VOLFX-AUDUSD_6M_10FLY,AUDUSD,10FLY,0.5,6M,-1270.3799999999999,1.4,1.375,Market Data,Market Data,Market Data,Market Data,0.5775,0.6755,0.6878,0.3395,0.0,0.14539999999999997,0.0,0.02499999999999991,-31.759499999999885,366.82222499999995,25.40760000000002,429.07084499999996,-184.71325199999995,31.759500000000166,215.647005,436.88368199999996,-31.759499999999885,366.82222499999995,25.40760000000002,429.07084499999996,GCB TRADING BOOK
All Desk,VOLFX-AUDUSD_6M_10RR,AUDUSD,10RR,0.5,6M,2089.2,-4.7,-4.695,Market Data,Market Data,Market Data,Market Data,0.8662,1.3732,1.4366,0.5092,0.04600000000000026,-0.2697000000000003,0.04800000000000004,-0.004999999999999893,-10.445999999999776,904.8325199999999,96.10320000000054,1434.44472,-563.4572400000005,100.28160000000008,531.91032,1500.67236,-10.445999999999776,904.8325199999999,96.10320000000054,1434.44472,GCB TRADING BOOK
All Desk,VOLFX-AUDUSD_6M_25FLY,AUDUSD,25FLY,0.5,6M,12793.86,0.4525,0.3589,Market Data,Market Data,Market Data,Market Data,0.175,0.3237,0.3423,0.115,0.11160000000000003,0.07400000000000001,0.11210000000000003,0.09360000000000002,1197.5052960000003,1119.46275,1427.7947760000004,2070.686241,946.7456400000002,1434.1917060000005,735.6469500000001,2189.669139,1197.5052960000003,1119.46275,1427.7947760000004,2070.686241,GCB TRADING BOOK
All Desk,VOLFX-AUDUSD_6M_25RR,AUDUSD,25RR,0.5,6M,-969.8700000000001,-2.3725,-2.345,Market Data,Market Data,Market Data,Market Data,0.35,0.4737,0.4895,0.2615,0.0,0.013799999999999812,0.0,-0.027499999999999858,26.671424999999864,169.72725,140.24320200000008,229.71370950000002,-13.38420599999982,141.21307199999998,126.81050250000003,237.3756825,26.671424999999864,169.72725,140.24320200000008,229.71370950000002,GCB TRADING BOOK
All Desk,VOLFX-AUDUSD_6M_ATM,AUDUSD,ATM,0.5,6M,3650.601549999999,12.165,12.1641,Market Data,Market Data,Market Data,Market Data,0.35,0.47,0.485,0.35,0.07119999999999926,-0.010000000000001563,0.09309999999999974,0.0008999999999996788,3.285541394998827,638.8552712499998,259.92283035999725,857.8913642499997,-36.506015500005695,339.87100430499896,638.8552712499998,885.2708758749998,3.285541394998827,638.8552712499998,259.92283035999725,857.8913642499997,GCB TRADING BOOK
All Desk,VOLFX-CHFPLN_1D_ATM,CHFPLN,ATM,0.002777777777777778,1D,-5.83809,13.5,13.519,Default Mapping,Default Mapping,Default Mapping,Default Mapping,3.185,3.6,3.6,2.8898,0.06099999999999994,3.5367999999999995,0.03049999999999997,0.0,-0.0,9.297158325,0.0,10.508562000000001,-20.648156712,0.0,8.435456241,10.508562000000001,-0.0,9.297158325,0.0,10.508562000000001,GCB TRADING BOOK
All Desk,VOLFX-CHFPLN_1M_ATM,CHFPLN,ATM,0.08333333333333333,1M,-16.3267,12.595,12.5967,Default Mapping,Default Mapping,Default Mapping,Default Mapping,1.77,2.634,2.742,1.5802,0.0,0.1570999999999998,0.0,0.0,-0.0,14.4491295,11.084196629999978,21.5022639,-2.5649245699999965,12.46870079,12.899725669999999,22.3839057,-0.0,14.4491295,11.084196629999978,21.5022639,GCB TRADING BOOK
All Desk,VOLFX-CHFPLN_3M_ATM,CHFPLN,ATM,0.25,3M,-13.6814,12.3925,12.353,Default Mapping,Default Mapping,Default Mapping,Default Mapping,1.725,2.585,2.6925,1.4188,0.01559999999999917,0.14379999999999882,0.007799999999999585,0.0,-0.0,11.8002075,0.0,17.6832095,-1.9673853199999838,0.0,9.70558516,18.41858475,-0.0,11.8002075,0.0,17.6832095,GCB TRADING BOOK
All Desk,VOLFX-CHFPLN_6M_ATM,CHFPLN,ATM,0.5,6M,-259.0688,12.4575,12.4886,Default Mapping,Default Mapping,Default Mapping,Default Mapping,1.735,2.627,2.7385,1.4528,0.056699999999999307,0.39559999999999995,0.028399999999999537,0.0,-0.0,224.742184,0.0,340.2868688,-102.48761728,0.0,188.18757632,354.72995440000005,-0.0,224.742184,0.0,340.2868688,GCB TRADING BOOK
All Desk,VOLFX-CHFPLN_9M_ATM,CHFPLN,ATM,0.75,9M,-183.19106,12.55,12.6034,Default Mapping,Default Mapping,Default Mapping,Default Mapping,1.735,2.627,2.7385,1.3929,0.06894999999999918,0.5589999999999993,0.03449999999999953,0.0,-0.0,158.91824455,0.0,240.62145730999998,-102.40380253999986,0.0,127.583413737,250.83435890500002,-0.0,158.91824455,0.0,240.62145730999998,GCB TRADING BOOK
